filename,run_number,scenario,preupsample,dataset,model,loss_function,variable,rmse,mae,bias,corr,baseline_rmse,skill
sc1_dl4ds.ipynb,,scenario1-dl4ds-forecast-correction,no-preupsample,2 dataset,DL4DS,mae,V10 (m/s),1.0637,0.8092,0.0657,0.8711,1.0916,0.0256
sc1_dl4ds.ipynb,,scenario1-dl4ds-forecast-correction,no-preupsample,2 dataset,DL4DS,mae,T2m (K),0.5566,0.4335,-0.0024,0.8364,0.7312,0.2389
sc1_dl4ds.ipynb,,scenario1-dl4ds-forecast-correction,no-preupsample,2 dataset,DL4DS,mae,TP 24hr (mm),0.0064,0.0033,-0.0006,0.8146,0.006,-0.0628
sc1_gan_preupsample_run1_executed.ipynb,1,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,U10 (m/s),1.1101,0.8479,-0.0794,0.8828,1.1679,0.0495
sc1_gan_preupsample_run1_executed.ipynb,1,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,V10 (m/s),1.084,0.8292,0.0558,0.8691,1.0916,0.007
sc1_gan_preupsample_run1_executed.ipynb,1,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,T2m (K),0.6686,0.5398,-0.0083,0.8252,0.7312,0.0856
sc1_gan_preupsample_run1_executed.ipynb,1,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,TP 24hr (mm),0.0064,0.0033,-0.0007,0.8142,0.006,-0.0707
sc1_gan_preupsample_run2_executed.ipynb,2,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,U10 (m/s),1.1102,0.8479,-0.0791,0.8828,1.1679,0.0495
sc1_gan_preupsample_run2_executed.ipynb,2,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,V10 (m/s),1.0841,0.8293,0.0565,0.8691,1.0916,0.0069
sc1_gan_preupsample_run2_executed.ipynb,2,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,T2m (K),0.6686,0.5398,-0.0082,0.8252,0.7312,0.0857
sc1_gan_preupsample_run2_executed.ipynb,2,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,TP 24hr (mm),0.0064,0.0033,-0.0007,0.8142,0.006,-0.0707
sc1_gan_preupsample_run3_executed.ipynb,3,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,U10 (m/s),1.11,0.8478,-0.0779,0.8829,1.1679,0.0496
sc1_gan_preupsample_run3_executed.ipynb,3,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,V10 (m/s),1.084,0.8292,0.0568,0.8691,1.0916,0.0069
sc1_gan_preupsample_run3_executed.ipynb,3,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,T2m (K),0.6686,0.5398,-0.0084,0.8252,0.7312,0.0856
sc1_gan_preupsample_run3_executed.ipynb,3,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,TP 24hr (mm),0.0064,0.0033,-0.0007,0.8142,0.006,-0.0706
sc1_gan_preupsample_run4_executed.ipynb,4,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,U10 (m/s),1.1101,0.8479,-0.0796,0.8828,1.1679,0.0495
sc1_gan_preupsample_run4_executed.ipynb,4,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,V10 (m/s),1.084,0.8292,0.0564,0.8691,1.0916,0.007
sc1_gan_preupsample_run4_executed.ipynb,4,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,T2m (K),0.6686,0.5398,-0.0085,0.8252,0.7312,0.0857
sc1_gan_preupsample_run4_executed.ipynb,4,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,TP 24hr (mm),0.0064,0.0033,-0.0007,0.8142,0.006,-0.0706
sc1_gan_preupsample_run5_executed.ipynb,5,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,U10 (m/s),1.1101,0.8479,-0.0786,0.8829,1.1679,0.0495
sc1_gan_preupsample_run5_executed.ipynb,5,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,V10 (m/s),1.084,0.8292,0.0558,0.8691,1.0916,0.007
sc1_gan_preupsample_run5_executed.ipynb,5,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,T2m (K),0.6686,0.5398,-0.0082,0.8252,0.7312,0.0857
sc1_gan_preupsample_run5_executed.ipynb,5,scenario1-gan-preupsample,preupsample,2 dataset,GAN,mae,TP 24hr (mm),0.0064,0.0033,-0.0007,0.8142,0.006,-0.0706
sc1_gan_run1_executed.ipynb,1,scenario1-gan,no-preupsample,2 dataset,GAN,mae,U10 (m/s),1.11,0.8478,-0.0788,0.8828,1.1679,0.0496
sc1_gan_run1_executed.ipynb,1,scenario1-gan,no-preupsample,2 dataset,GAN,mae,V10 (m/s),1.084,0.8292,0.0559,0.8691,1.0916,0.0069
sc1_gan_run1_executed.ipynb,1,scenario1-gan,no-preupsample,2 dataset,GAN,mae,T2m (K),0.6686,0.5398,-0.0079,0.8252,0.7312,0.0857
sc1_gan_run1_executed.ipynb,1,scenario1-gan,no-preupsample,2 dataset,GAN,mae,TP 24hr (mm),0.0064,0.0033,-0.0007,0.8142,0.006,-0.0707
sc1_gan_run2_executed.ipynb,2,scenario1-gan,no-preupsample,2 dataset,GAN,mae,U10 (m/s),1.11,0.8478,-0.0784,0.8829,1.1679,0.0496
sc1_gan_run2_executed.ipynb,2,scenario1-gan,no-preupsample,2 dataset,GAN,mae,V10 (m/s),1.084,0.8292,0.0565,0.8691,1.0916,0.0069
sc1_gan_run2_executed.ipynb,2,scenario1-gan,no-preupsample,2 dataset,GAN,mae,T2m (K),0.6686,0.5398,-0.0088,0.8252,0.7312,0.0856
sc1_gan_run2_executed.ipynb,2,scenario1-gan,no-preupsample,2 dataset,GAN,mae,TP 24hr (mm),0.0064,0.0033,-0.0007,0.8142,0.006,-0.0706
sc1_gan_run3_executed.ipynb,3,scenario1-gan,no-preupsample,2 dataset,GAN,mae,U10 (m/s),1.11,0.8478,-0.0784,0.8828,1.1679,0.0496
sc1_gan_run3_executed.ipynb,3,scenario1-gan,no-preupsample,2 dataset,GAN,mae,V10 (m/s),1.084,0.8292,0.0562,0.8691,1.0916,0.007
sc1_gan_run3_executed.ipynb,3,scenario1-gan,no-preupsample,2 dataset,GAN,mae,T2m (K),0.6686,0.5398,-0.0084,0.8252,0.7312,0.0857
sc1_gan_run3_executed.ipynb,3,scenario1-gan,no-preupsample,2 dataset,GAN,mae,TP 24hr (mm),0.0064,0.0033,-0.0007,0.8142,0.006,-0.0707
sc1_gan_run4_executed.ipynb,4,scenario1-gan,no-preupsample,2 dataset,GAN,mae,U10 (m/s),1.1101,0.8479,-0.0795,0.8828,1.1679,0.0495
sc1_gan_run4_executed.ipynb,4,scenario1-gan,no-preupsample,2 dataset,GAN,mae,V10 (m/s),1.084,0.8292,0.0558,0.8691,1.0916,0.007
sc1_gan_run4_executed.ipynb,4,scenario1-gan,no-preupsample,2 dataset,GAN,mae,T2m (K),0.6686,0.5398,-0.0089,0.8252,0.7312,0.0857
sc1_gan_run4_executed.ipynb,4,scenario1-gan,no-preupsample,2 dataset,GAN,mae,TP 24hr (mm),0.0064,0.0033,-0.0007,0.8142,0.006,-0.0706
sc1_gan_run5_executed.ipynb,5,scenario1-gan,no-preupsample,2 dataset,GAN,mae,U10 (m/s),1.1101,0.8479,-0.0791,0.8828,1.1679,0.0495
sc1_gan_run5_executed.ipynb,5,scenario1-gan,no-preupsample,2 dataset,GAN,mae,V10 (m/s),1.084,0.8292,0.0568,0.8691,1.0916,0.0069
sc1_gan_run5_executed.ipynb,5,scenario1-gan,no-preupsample,2 dataset,GAN,mae,T2m (K),0.6686,0.5398,-0.0078,0.8252,0.7312,0.0857
sc1_gan_run5_executed.ipynb,5,scenario1-gan,no-preupsample,2 dataset,GAN,mae,TP 24hr (mm),0.0064,0.0033,-0.0007,0.8142,0.006,-0.0706
